TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
แบบฟอร์มย้าย,,download/article/article_20140512142236.pdf,nan,nan,แบบฟอร์มย้าย
แบบคำร้องขอมีบัตรข้าราชการ,,download/article/article_20140512142451.pdf,nan,nan,แบบคำร้องขอมีบัตรข้าราชการ
แบบขอเครื่องราชฯ,,download/article/article_20140512151947.doc,nan,nan,แบบขอเครื่องราชฯ
แบบขอรับการสงเคราะห์ของข้าราชการ ลูกจ้างประจำส่วนราชการและพนักงานราชการในสังกัดสำนักงานปลัดกระทรวงแรงงาน ที่ประสบภัยหรือถึงแก่กรรม,,download/article/article_20140512152108.pdf,nan,nan,แบบขอรับการสงเคราะห์ของข้าราชการ ลูกจ้างประจำส่วนราชการและพนักงานราชการในสังกัดสำนักงานปลัดกระทรวงแรงงาน ที่ประสบภัยหรือถึงแก่กรรม
แบบหนังสือรับรองเงินเดือน,,download/article/article_20140512152229.doc,nan,nan,แบบหนังสือรับรองเงินเดือน
แบบฟอร์ม กบข.,,download/article/article_20140512152400.pdf,nan,nan,แบบฟอร์ม กบข.
แบบคำขอเพิ่ม/ปรับปรุงข้อมูลระบบจ่ายตรง ,,download/article/article_20140512152508.pdf,nan,nan,แบบคำขอเพิ่ม/ปรับปรุงข้อมูลระบบจ่ายตรง 
แบบฟอร์มรายงานการประเมินผลตนเองตามคำรับรองการปฏิบัติราชการ,,download/article/article_20140512152605.doc,nan,nan,แบบฟอร์มรายงานการประเมินผลตนเองตามคำรับรองการปฏิบัติราชการ
การแสดงเจตนาระบุตัวผู้รับบำเน็จตกทอดเพื่อให้การสั่งจ่ายมีความสะดวกรวดเร็วยิ่งขึ้น,,download/article/article_20140512152753.pdf,nan,nan,การแสดงเจตนาระบุตัวผู้รับบำเน็จตกทอดเพื่อให้การสั่งจ่ายมีความสะดวกรวดเร็วยิ่งขึ้น
แบบประเมินบุคคล,,download/article/article_20140512153433.doc,nan,nan,แบบประเมินบุคคล
