TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
ทดสอบข่าวรับสมัครงาน1,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน1
ทดสอบข่าวรับสมัครงาน2,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน2
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน3,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน3
ทดสอบข่าวรับสมัครงาน4,,nan,nan,nan,ทดสอบข่าวรับสมัครงาน4
รับสมัครคัดเลือกข้าราชการเพื่อเข้ารับการประเมินบุคคลและผลงานเพื่อแต่งตั้งให้ดำรงตำแหน่งที่ปรึกษากฎหมาย (นิติกรทรงคุณวุฒิ),,download/pdf/News/rabsmakhrkhadeluuekkhaaraachkaar.pdf,nan,nan,รับสมัครคัดเลือกข้าราชการเพื่อเข้ารับการประเมินบุคคลและผลงานเพื่อแต่งตั้งให้ดำรงตำแหน่งที่ปรึกษากฎหมาย (นิติกรทรงคุณวุฒิ)
รับสมัครคัดเลือกข้าราชการพลเรือนสามัญเพื่อรับทุนรัฐบาลไปฝึกอบรม ณ ต่างประเทศ ประจำปี 2557,,download/pdf/News/thunphiinaathaihtlng.pdf,nan,nan,รับสมัครคัดเลือกข้าราชการพลเรือนสามัญเพื่อรับทุนรัฐบาลไปฝึกอบรม ณ ต่างประเทศ ประจำปี 2557
การรับสมัครบุคคลเข้าศึกษาต่อในโครงการประกาศนียบัตรบัณฑิตทางกฏหมายมหาชน,,download/pdf/News/06-03-2014_163141.pdf,nan,nan,การรับสมัครบุคคลเข้าศึกษาต่อในโครงการประกาศนียบัตรบัณฑิตทางกฏหมายมหาชน
การรับสมัครสอบแข่งขันเพื่อรับทุนรัฐบาลฯประจำปี 2557 (ทุนบุคคลทั่วไประดับปริญญาตรี),,download/pdf/News/kaarrabsmakhrsbaekhngkhanephuuerabthunrathbaalpracchampii_2557.pdf,nan,nan,การรับสมัครสอบแข่งขันเพื่อรับทุนรัฐบาลฯประจำปี 2557 (ทุนบุคคลทั่วไประดับปริญญาตรี)
