new_url,old_url,interest_links,web_links
prachuapkhirikhan2.mol.go.th,prachuapkhirikhan.mol.go.th,"['http://labourproduct.mol.go.th/prachuapkhirikhan', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/']","['/../link', '/../calendar']"
ayutthaya2.mol.go.th,ayutthaya.mol.go.th,"['http://labourproduct.mol.go.th/ayutthaya', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'https://www.sso.go.th/wpr/main', 'https://www.facebook.com/profile.php?id=100004254527470&lst=100001402400539%3A100004254527470%3A1497426193', 'http://ww2.ayutthaya.go.th/event.php']","['/../link', '/../calendar']"
phetchaburi2.mol.go.th,phetchaburi.mol.go.th,"['http://labourproduct.mol.go.th/phetchaburi', 'http://www.thaigov.go.th/index.php/th/program1', 'http://www.mol.go.th/anonymouse/home', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/laws', 'http://www.doe.go.th/prd/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/wpr/home.jsp', 'https://th-th.facebook.com/SanaknganRaengnganCanghwadPhechrburi/']","['/../link', '/sites/phetchaburi.mol.go.th/files/maatrkaar_aenwthaang_kaarpngkankaarthucchritpii_61.pdf', '/../calendar']"
ratchaburi2.mol.go.th,ratchaburi.mol.go.th,"['http://labourproduct.mol.go.th/ratchaburi', 'http://www.mol.go.th/', 'http://lb.mol.go.th/', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://123.242.157.9/index.php', 'https://docs.google.com/forms/d/e/1FAIpQLSdJEGHfy76jZ_k12cfCOqnXWbPmCEHh3m0U0Z8l9fclZCeXWg/viewform?c=0&w=1', 'https://docs.google.com/forms/d/e/1FAIpQLSdk9VreD1opPZephn2IHuBkstA5kQEuQgc5QVHkq_eE92Olhg/viewform', 'http://smartjob.doe.go.th/', 'https://www.doe.go.th/prd/assets/upload/files/ratchaburi_th/4f678a3530750194929e8f999205b230.pdf', 'http://www.mol.go.th/content/workerstation', 'http://www.ratchaburi.go.th/drt1567/index.htm', 'http://www.oic.go.th/infocenter20/2013/', 'https://goo.gl/forms/KMpCUw1Y1aGI1NuA3', 'http://ratchaburi.mol.go.th/node/4783', 'https://www.facebook.com/mol.ratchaburi?ref=ts&fref=ts', 'https://twitter.com/MOL_Ratchaburi', 'https://line.me/R/ti/p/%40kqt3645z']","['mailto:ratchburi@mol.go.th', '/../calendar']"
lopburi2.mol.go.th,lopburi.mol.go.th,"['http://labourproduct.mol.go.th/lopburi', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/', 'http://www.lopburi.go.th/web/ita-2561.html', 'http://www.lopburi.go.th/damrongtham/']","['/../link', '/../calendar']"
samutprakan2.mol.go.th,samutprakan.mol.go.th,"['http://labourproduct.mol.go.th/samutprakan', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/', 'https://empui.doe.go.th/']","['/../link', '/../calendar']"
samutsongkhram2.mol.go.th,samutsongkhram.mol.go.th,"['http://samutsongkhram.mol.go.th/node/897', 'http://samutsongkhram.mol.go.th/node/771', 'http://www.oic.go.th/INFOCENTER3/341', 'http://samutsongkhram.mol.go.th/node/809', 'http://labourproduct.mol.go.th/samutsongkhram', 'http://www.mol.go.th/', 'http://www.doe.go.th/prd/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://samutsongkhram.mol.go.th/node/599', 'https://www.facebook.com/samutsongkhram.mol']",[]
samutsakhon2.mol.go.th,samutsakhon.mol.go.th,"['http://labourproduct.mol.go.th/samutsakhon', 'http://www.kingrama9.net/', 'http://www.oic.go.th/web2017/main.html', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/prd', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.doe.go.th/alien', 'http://smartjob.doe.go.th/', 'http://www.samutsakhon.go.th', 'http://www.doe.go.th/samutsakhon/', 'http://www.sso.go.th/wprp/samutsakhon/home.jsp', 'http://home.dsd.go.th/samutsakhon/', 'http://www.facebook.com/profile.php?id=100004120512619&fref=ts/', 'https://www.facebook.com/samutsakhonlabour1', 'https://twitter.com/samutsakhon_LB', 'http://samutsakhon.mol.go.th/id=1']","['_fcksavedurl=', '/../calendar']"
saraburi2.mol.go.th,saraburi.mol.go.th,[],[]
singburi2.mol.go.th,singburi.mol.go.th,"['http://www.doe.go.th/singburi/', 'http://www.dsd.go.th/singburi', 'http://singburi.labour.go.th/', 'http://www.sso.go.th/singburi/', 'http://labourproduct.mol.go.th/singburi', 'http://www.singburi.go.th/damrongtham/index.php', 'http://www.facebook.com/singburi.labour', 'http://doe.go.th/helpme', 'https://www.labour.go.th/th/', 'https://www.doe.go.th/lmia', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://intranet.mol.go.th/login/login.php', 'http://www.oic.go.th/INFOCENTER17/1793/#', 'http://singburi.mol.go.th/node/26968']","['/../link', '/../calendar', '/system/files/t.kh_.60_4.pdf', '/system/files/ph.y.60_0.pdf', '/system/files/th.kh_.60_0.pdf', '/system/files/m.kh_.61_0.pdf', '/system/files/k.ph_.61_0.pdf', '/system/files/mii.kh_.61_0.pdf', '/system/files/em.y.61_0.pdf', '/system/files/ph.kh_.61_0.pdf', '/system/files/mi.y.61_0.pdf', '/system/files/k.kh_.61_0.pdf', '/system/files/s.kh_.61.pdf', '/system/files/k.y.61.pdf', '/system/files/ngwdthii1_2562_2.pdf', '/system/files/ngwdthii2_2562_1.pdf']"
